Duration,rainIntensityIncrement,rainIntensityIncrements,vwcIncrement,controlledLo,controlledHi,controlledRate,surfaceName,runoffToName,cdaName,etTableName,productName,capacity
5,0.0007,8,5,0,70,0.05,two,three,[None],sunny,purpleRoof,0.5

month,minutes,amc,vwc,vwcGroupBy5,vwcRow,capacitySpare,rainIntensity,intensityColumn,rain,uncontrolled,controlled,input,efficiency,absorb,runoff,retPre,hourColumn,monthRow,etRate,etMax,et,ret
1,540,0.3085749999999997,61,60,12,0.1914250000000003,0.0,0,0.0,0,0,0.0,92,0.0,0.0,0.3085749999999997,4,6,0.0066,0.033,0.033,0.2755749999999997
1,545,0.2755749999999997,55,55,11,0.22442500000000032,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2755749999999997,4,6,0.0066,0.033,0.033,0.24257499999999968
1,550,0.24257499999999968,48,45,9,0.25742500000000035,0.0,0,0.0,0,0.25,0.25,95,0.2375,0.012500000000000011,0.4800749999999997,4,6,0.0066,0.033,0.033,0.44707499999999967
1,555,0.44707499999999967,89,85,17,0.05292500000000033,0.0,0,0.0,0,0,0.0,70,0.0,0.0,0.44707499999999967,4,6,0.0066,0.033,0.033,0.41407499999999964
1,560,0.41407499999999964,82,80,16,0.08592500000000036,0.0,0,0.0,0,0,0.0,80,0.0,0.0,0.41407499999999964,4,6,0.0066,0.033,0.033,0.3810749999999996
1,565,0.3810749999999996,76,75,15,0.11892500000000039,0.0,0,0.0,0,0,0.0,85,0.0,0.0,0.3810749999999996,4,6,0.0066,0.033,0.033,0.3480749999999996
1,570,0.3480749999999996,69,65,13,0.15192500000000042,0.0,0,0.0,0,0,0.0,90,0.0,0.0,0.3480749999999996,4,6,0.0066,0.033,0.033,0.31507499999999955
1,575,0.31507499999999955,63,60,12,0.18492500000000045,0.0,0,0.0,0,0,0.0,92,0.0,0.0,0.31507499999999955,4,6,0.0066,0.033,0.033,0.2820749999999995
1,580,0.2820749999999995,56,55,11,0.21792500000000048,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2820749999999995,4,6,0.0066,0.033,0.033,0.24907499999999952
1,585,0.24907499999999952,49,45,9,0.2509250000000005,0.0,0,0.0,0,0.25,0.25,95,0.2375,0.012500000000000011,0.48657499999999954,4,6,0.0066,0.033,0.033,0.4535749999999995
1,590,0.4535749999999995,90,90,18,0.046425000000000494,0.0,0,0.0,0,0,0.0,60,0.0,0.0,0.4535749999999995,4,6,0.0066,0.033,0.033,0.4205749999999995
1,595,0.4205749999999995,84,80,16,0.07942500000000052,0.0,0,0.0,0,0,0.0,80,0.0,0.0,0.4205749999999995,4,6,0.0066,0.033,0.033,0.38757499999999945
1,600,0.38757499999999945,77,75,15,0.11242500000000055,0.0,0,0.0,0,0,0.0,85,0.0,0.0,0.38757499999999945,5,6,0.0089,0.0445,0.0445,0.34307499999999946
1,605,0.34307499999999946,68,65,13,0.15692500000000054,0.0,0,0.0,0,0,0.0,90,0.0,0.0,0.34307499999999946,5,6,0.0089,0.0445,0.0445,0.2985749999999995
1,610,0.2985749999999995,59,55,11,0.20142500000000052,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2985749999999995,5,6,0.0089,0.0445,0.0445,0.2540749999999995
1,615,0.2540749999999995,50,50,10,0.2459250000000005,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2540749999999995,5,6,0.0089,0.0445,0.0445,0.2095749999999995
1,620,0.2095749999999995,41,40,8,0.2904250000000005,0.0,0,0.0,0,0.25,0.25,95,0.2375,0.012500000000000011,0.4470749999999995,5,6,0.0089,0.0445,0.0445,0.4025749999999995
1,625,0.4025749999999995,80,80,16,0.09742500000000048,0.0,0,0.0,0,0,0.0,80,0.0,0.0,0.4025749999999995,5,6,0.0089,0.0445,0.0445,0.35807499999999953
1,630,0.35807499999999953,71,70,14,0.14192500000000047,0.0,0,0.0,0,0,0.0,88,0.0,0.0,0.35807499999999953,5,6,0.0089,0.0445,0.0445,0.31357499999999955
1,635,0.31357499999999955,62,60,12,0.18642500000000045,0.0,0,0.0,0,0,0.0,92,0.0,0.0,0.31357499999999955,5,6,0.0089,0.0445,0.0445,0.26907499999999956
1,640,0.26907499999999956,53,50,10,0.23092500000000044,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.26907499999999956,5,6,0.0089,0.0445,0.0445,0.22457499999999958
